City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chuy,UY,-33.6971,-53.4616,65.79,78,0,7.58,clear sky
80,Hilo,US,19.7297,-155.09,77.11,67,0,7.0,clear sky
81,Vicuna,CL,-30.0319,-70.7081,68.4,70,0,2.06,clear sky
82,Tiksi,RU,71.6872,128.8694,-9.56,98,51,4.34,broken clouds
83,Cururupu,BR,-1.8283,-44.8683,72.16,97,99,2.1,light rain
84,Kirakira,SB,-10.4544,161.9205,84.85,74,81,10.13,light rain
85,Shimoda,JP,34.6667,138.95,44.96,55,100,12.12,overcast clouds
86,Saskatoon,CA,52.1168,-106.6345,13.98,87,20,4.0,few clouds
87,Komsomolskiy,UZ,40.4272,71.7189,34.52,93,75,4.61,fog
88,Coahuayana,MX,18.7333,-103.6833,73.74,75,0,2.84,clear sky
89,Maningrida,AU,-12.0667,134.2667,81.86,78,100,15.37,light rain
90,Dikson,RU,73.5069,80.5464,7.61,94,100,18.97,light snow
91,Sangar,RU,63.9242,127.4739,-35.0,98,77,3.42,broken clouds
92,Tasiilaq,GL,65.6145,-37.6368,9.82,75,100,7.56,light snow
93,Carnarvon,AU,-24.8667,113.6333,80.67,78,100,14.97,overcast clouds
94,Bor,RU,56.3567,44.0669,12.13,98,98,3.22,light snow
95,Kahului,US,20.8947,-156.47,79.86,69,24,7.0,few clouds
96,Linjiang,CN,41.8069,126.9078,9.05,80,32,1.14,scattered clouds
97,San Angelo,US,31.4638,-100.437,55.33,27,83,9.15,broken clouds
98,Ketchikan,US,55.3422,-131.6461,43.27,75,100,8.05,overcast clouds
99,Fort Frances,CA,48.5999,-93.4003,14.22,79,100,1.99,overcast clouds
100,Arrecife,ES,28.963,-13.5477,66.18,68,0,12.66,haze
101,Yellowknife,CA,62.456,-114.3525,-12.48,77,75,8.05,broken clouds
102,Angoram,PG,-4.0625,144.0661,80.87,78,95,5.28,overcast clouds
103,Faya,SA,18.3851,42.4509,53.71,83,4,5.32,clear sky
104,Broken Hill,AU,-31.95,141.4333,83.91,51,9,14.97,clear sky
105,Domanivka,UA,47.6319,30.9885,25.88,86,100,10.67,overcast clouds
106,Maarianhamina,AX,60.0973,19.9348,37.26,100,100,10.36,moderate rain
107,Ferrol,ES,43.4832,-8.2369,50.27,80,99,6.15,overcast clouds
108,Avarua,CK,-21.2078,-159.775,84.25,79,20,11.5,few clouds
109,Isangel,VU,-19.55,169.2667,80.82,85,100,13.82,heavy intensity rain
110,Launceston,AU,-41.45,147.1667,76.15,55,0,5.01,clear sky
111,Nishihara,JP,26.1842,127.7558,64.06,91,100,8.05,overcast clouds
112,Oktyabrskoye,RU,43.0645,44.7417,17.74,92,25,4.47,scattered clouds
113,Port Hardy,CA,50.6996,-127.4199,47.75,87,100,19.57,light rain
114,Alofi,NU,-19.0595,-169.9187,82.29,74,100,11.5,overcast clouds
115,Sanski Most,BA,44.7653,16.6656,31.48,79,83,5.26,broken clouds
116,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,75,17.27,light snow
117,Yantal,RU,56.8471,105.2542,-8.66,100,99,2.37,overcast clouds
118,Erzin,TR,36.9559,36.2,43.32,75,100,6.69,overcast clouds
119,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,77.34,58,31,4.12,scattered clouds
120,Hualmay,PE,-11.0964,-77.6139,70.27,83,35,9.46,scattered clouds
121,Soltsy,RU,58.1239,30.3238,24.73,93,100,18.21,snow
122,Pyaozerskiy,RU,65.8333,31.1667,22.14,96,100,3.31,light snow
123,Pemangkat,ID,1.1667,108.9667,78.1,84,100,3.96,overcast clouds
124,Cherskiy,RU,68.75,161.3,-25.6,99,100,1.95,overcast clouds
125,Saint-Georges,GD,12.0564,-61.7485,76.68,78,20,3.44,few clouds
126,Bayir,TR,37.2687,28.2167,43.32,79,100,4.74,overcast clouds
127,Turukhansk,RU,65.8167,87.9833,1.27,96,100,9.1,overcast clouds
128,Hobart,AU,-42.8794,147.3294,77.02,57,20,1.01,few clouds
129,Mogadishu,SO,2.0371,45.3438,76.68,78,16,20.38,few clouds
130,Texarkana,US,33.4251,-94.0477,49.84,39,0,5.01,clear sky
131,Ouadda,CF,8.0777,22.4007,60.8,23,8,5.37,clear sky
132,Asau,RO,46.4333,26.4,34.75,66,100,10.49,overcast clouds
133,Talnakh,RU,69.4865,88.3972,-3.8,96,100,9.04,overcast clouds
134,Vao,NC,-22.6667,167.4833,79.72,87,15,20.22,few clouds
135,Broome,US,42.2506,-75.833,10.02,76,75,4.0,broken clouds
136,Mariental,NA,-24.6333,17.9667,72.21,65,64,12.21,moderate rain
137,Pangnirtung,CA,66.1451,-65.7125,-19.44,99,100,3.0,overcast clouds
138,Saint George,US,37.1041,-113.5841,57.67,15,0,4.61,clear sky
139,Kailua,US,21.4022,-157.7394,81.14,63,0,13.8,clear sky
