City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Olga,RU,2022-01-29 17:41:02,43.7444,135.2892,8.01,55,7,13.47
1,Ribeira Grande,PT,2022-01-29 17:41:02,38.5167,-28.7,63.0,59,40,6.91
2,Bengkulu,ID,2022-01-29 17:40:29,-3.8004,102.2655,76.3,90,95,3.38
3,Yellowknife,CA,2022-01-29 17:41:01,62.456,-114.3525,-6.59,92,100,4.61
4,Xuddur,SO,2022-01-29 17:41:03,4.1213,43.8894,79.47,26,85,10.16
5,Port Hardy,CA,2022-01-29 17:41:03,50.6996,-127.4199,45.75,81,100,19.57
6,Bredasdorp,ZA,2022-01-29 17:41:03,-34.5322,20.0403,70.29,68,0,16.11
7,Torbay,CA,2022-01-29 17:41:04,47.6666,-52.7314,35.28,88,100,18.41
8,Mataura,NZ,2022-01-29 17:41:04,-46.1927,168.8643,53.65,94,99,1.63
9,Jamestown,US,2022-01-29 17:38:41,42.097,-79.2353,17.29,48,0,7.0
10,Koutiala,ML,2022-01-29 17:41:05,12.3917,-5.4642,90.23,10,8,9.01
11,Iqaluit,CA,2022-01-29 17:41:05,63.7506,-68.5145,-9.31,76,90,5.99
12,Kerema,PG,2022-01-29 17:41:06,-7.9631,145.7785,76.46,83,99,2.62
13,Pangnirtung,CA,2022-01-29 17:41:06,66.1451,-65.7125,-16.6,76,100,6.91
14,Novobirilyussy,RU,2022-01-29 17:41:07,56.9514,90.6661,-6.9,97,75,4.16
15,Kavieng,PG,2022-01-29 17:40:33,-2.5744,150.7967,81.3,73,94,3.69
16,Ushuaia,AR,2022-01-29 17:41:07,-54.8,-68.3,56.86,67,75,8.05
17,Lebu,CL,2022-01-29 17:41:08,-37.6167,-73.65,66.02,68,2,11.61
18,Klaksvik,FO,2022-01-29 17:41:08,62.2266,-6.589,36.52,64,69,39.66
19,Havelock,US,2022-01-29 17:41:08,34.8791,-76.9013,37.98,68,90,15.01
20,Albany,US,2022-01-29 17:37:11,42.6001,-73.9662,14.81,69,100,1.01
21,Faya,SA,2022-01-29 17:41:09,18.3851,42.4509,55.51,77,7,5.91
22,Kudahuvadhoo,MV,2022-01-29 17:39:49,2.6708,72.8944,81.18,67,89,7.87
23,Gaoua,BF,2022-01-29 17:41:10,10.2992,-3.2508,89.92,12,45,4.76
24,Mandali,IQ,2022-01-29 17:41:10,33.7499,45.5541,51.37,47,5,6.71
25,Dikson,RU,2022-01-29 17:39:36,73.5069,80.5464,2.5,93,98,21.52
26,Saint-Philippe,RE,2022-01-29 17:41:11,-21.3585,55.7679,80.19,85,68,9.75
27,Chuy,UY,2022-01-29 17:41:11,-33.6971,-53.4616,76.93,53,55,10.31
28,Hofn,IS,2022-01-29 17:33:07,64.2539,-15.2082,27.73,52,0,7.38
29,Bouna,CI,2022-01-29 17:41:12,9.2667,-3.0,89.35,12,42,5.21
30,Atuona,PF,2022-01-29 17:41:12,-9.8,-139.0333,77.14,80,9,13.13
31,Lagoa,PT,2022-01-29 17:41:13,39.05,-27.9833,58.39,75,0,13.98
32,Ancud,CL,2022-01-29 17:41:13,-41.8697,-73.8203,69.33,64,54,11.83
33,Constitucion,CL,2022-01-29 17:41:14,-35.3333,-72.4167,67.95,68,14,11.23
34,Rikitea,PF,2022-01-29 17:40:00,-23.1203,-134.9692,76.84,75,99,9.22
35,Yaan,NG,2022-01-29 17:41:14,7.3833,8.5667,86.31,13,96,7.02
36,Hobart,AU,2022-01-29 17:41:15,-42.8794,147.3294,60.66,73,90,6.91
37,Airai,TL,2022-01-29 17:41:15,-8.9266,125.4092,60.66,90,100,3.44
38,Punta Arenas,CL,2022-01-29 17:40:01,-53.15,-70.9167,57.22,50,75,19.57
39,Kjollefjord,NO,2022-01-29 17:41:15,70.9457,27.3465,22.46,71,80,2.68
40,Zeya,RU,2022-01-29 17:41:16,53.75,127.2667,-3.01,88,100,3.98
41,Bima,ID,2022-01-29 17:41:16,-8.4667,118.7167,76.41,92,100,2.01
42,Ust-Kuyga,RU,2022-01-29 17:41:17,70.0167,135.6,-36.56,100,100,5.03
43,Avarua,CK,2022-01-29 17:38:37,-21.2078,-159.775,75.25,88,50,2.3
44,Kaitangata,NZ,2022-01-29 17:41:17,-46.2817,169.8464,53.91,90,100,1.57
45,Coralville,US,2022-01-29 17:41:18,41.6764,-91.5805,28.53,59,1,11.5
46,Guerrero Negro,MX,2022-01-29 17:40:24,27.9769,-114.0611,67.3,33,3,2.93
47,Yar-Sale,RU,2022-01-29 17:42:18,66.8333,70.8333,-5.87,95,98,8.77
48,Mayumba,GA,2022-01-29 17:42:18,-3.432,10.6554,77.56,86,98,4.74
49,Esperance,AU,2022-01-29 17:42:19,-33.8667,121.9,66.04,72,2,15.95
50,Port Elizabeth,ZA,2022-01-29 17:42:19,-33.918,25.5701,72.1,73,0,11.5
51,Pahrump,US,2022-01-29 17:40:47,36.2083,-115.9839,54.18,15,75,1.05
52,Mazyr,BY,2022-01-29 17:42:20,52.0495,29.2456,21.11,96,98,7.58
53,Butaritari,KI,2022-01-29 17:42:20,3.0707,172.7902,81.66,78,79,18.59
54,Atasu,KZ,2022-01-29 17:42:21,48.6814,71.6433,19.85,96,98,8.12
55,Maunabo,PR,2022-01-29 17:42:21,18.0072,-65.8993,87.66,70,1,6.96
56,Katsuura,JP,2022-01-29 17:42:22,35.1333,140.3,41.14,88,81,11.9
57,Nikolskoye,RU,2022-01-29 17:38:40,59.7035,30.7861,26.87,90,100,11.39
